Precinct,Ward,PollingPlace
51,1,"1177 East 604 Road, Lawrence, KS 66047, USA"
56,1,"776 U.S. 40, Lawrence, KS 66049, USA"
57,1,"327 Elmore Street, Lecompton, KS 66050, USA"
58,1,"96 Highway 40, Lecompton, KS 66050, USA"
59,2,"501 East 300 Road, Overbrook, KS 66524, USA"
60,2,"718 High Street, Baldwin City, KS 66006, USA"
61,2,"700 Chapel Street, Baldwin City, KS 66006, USA"
62,2,"718 High Street, Baldwin City, KS 66006, USA"
67,2,"303 E 1100 Road, Baldwin City, KS 66006, USA"
50,3,"1530 Winchester Road, Eudora, KS 66025, USA"
52,3,"4 East 7th Street, Eudora, KS 66025, USA"
53,3,"310 East 20th Street, Eudora, KS 66025, USA"
63,3,"1724 North 692nd Road, Baldwin City, KS 66006, USA"
41,4,"402 North 2nd Street, Lawrence, KS 66044, USA"
55,4,"1853 East 1600 Road, Lawrence, KS 66044, USA"
78,4,
31,5,"1105 West 25th Street, Lawrence, KS 66046, USA"
32,5,"2518 Ridge Court, Lawrence, KS 66046, USA"
37,5,"2910 Haskell Avenue, Lawrence, KS 66046, USA"
38,5,"2711 Kensington Road, Lawrence, KS 66046, USA"
65,5,"1470 North 1000 Road, Lawrence, KS 66046, USA"
69,5,
14,6,"2415 Clinton Parkway, Lawrence, KS 66047, USA"
17,6,"2700 West 27th Street, Lawrence, KS 66047, USA"
22,6,"3001 Lawrence Avenue, Lawrence, KS 66047, USA"
46,6,"2511 Inverness Drive, Lawrence, KS 66047, USA"
54,6,"1638 Elm Street, Eudora, KS 66025, USA"
66,6,"1470 North 1000 Road, Lawrence, KS 66046, USA"
68,6,
76,6,"3001 Lawrence Avenue, Lawrence, KS 66047, USA"
33,7,"1501 New Hampshire Street, Lawrence, KS 66044, USA"
34,7,"2425 Choctaw Avenue, Lawrence, KS 66046, USA"
35,7,"1245 E 15th Street, Lawrence, KS 66044, USA"
36,7,"2120 Harper Street, Lawrence, KS 66046, USA"
39,7,"936 New York Street, Lawrence, KS 66044, USA"
40,7,"1245 New Hampshire Street, Lawrence, KS 66044, USA"
77,7,"2120 Harper Street, Lawrence, KS 66046, USA"
1,8,"200 Maine Street, Lawrence, KS 66044, USA"
2,8,"707 Vermont Street, Lawrence, KS 66044, USA"
3,8,"200 West 9th Street, Lawrence, KS 66044, USA"
4,8,"110 McDonald Drive, Lawrence, KS 66044, USA"
42,8,"201 North Michigan Street, Lawrence, KS 66044, USA"
64,8,"2321 Peterson Road, Lawrence, KS 66049, USA"
7,9,"200 West 9th Street, Lawrence, KS 66044, USA"
8,9,"1245 New Hampshire Street, Lawrence, KS 66044, USA"
9,9,"1045 Hilltop Dr, Lawrence, KS 66044, USA"
21,9,"1045 Hilltop Drive, Lawrence, KS 66044, USA"
25,9,"1501 Massachusetts Street, Lawrence, KS 66044, USA"
10,10,"2104 Bob Billings Pkwy, Lawrence, KS 66049, USA"
26,10,"1837 Vermont Street, Lawrence, KS 66044, USA"
27,10,"2145 Louisiana Street, Lawrence, KS 66046, USA"
28,10,"2145 Louisiana Street, Lawrence, KS 66046, USA"
29,10,"2300 Louisiana Street, Lawrence, KS 66046, USA"
30,10,"2201 Ousdahl Rd, Lawrence, KS 66046, USA"
5,11,"151 McDonald Drive, Lawrence, KS 66044, USA"
6,11,"101 Lawrence Avenue, Lawrence, KS 66049, USA"
11,11,"2312 Harvard Road, Lawrence, KS 66049, USA"
12,11,"1330 Kasold Drive, Lawrence, KS 66049, USA"
13,11,"3408 West 6th Street, Lawrence, KS 66049, USA"
15,11,"2104 Bob Billings Parkway, Lawrence, KS 66049, USA"
20,11,"4300 W 6th Street, Lawrence, KS 66049, USA"
23,11,"1429 Kasold Drive, Lawrence, KS 66049, USA"
44,11,"2321 Peterson Road, Lawrence, KS 66049, USA"
16,12,"3200 Clinton Parkway, Lawrence, KS 66047, USA"
18,12,"700 Wakarusa Drive, Lawrence, KS 66049, USA"
19,12,"4730 Brandon Woods Terrace, Lawrence, KS 66047, USA"
24,12,"1510 St. Andrews Drive, Lawrence, KS 66047, USA"
43,12,"4660 Bauer Farm Drive, Lawrence, KS 66049, USA"
47,12,"2211 Inverness Drive, Lawrence, KS 66047, USA"
48,12,"4851 Harvard Road, Lawrence, KS 66049, USA"
45,13,"1421 Research Park Drive, Lawrence, KS 66049, USA"
49,13,"6001 Bob Billings Parkway, Lawrence, KS 66049, USA"
70,13,"4660 Bauer Farm Drive, Lawrence, KS 66049, USA"
71,13,"4300 W 6th St, Lawrence, KS 66049, USA"
74,13,"100 Rock Chalk Lane, Lawrence, KS 66049, USA"
75,13,
